DDate,AmcCode,AmcName,YardCode,YardName,CommCode,CommName,VarityCode,VarityName,ProgArrivals,Arrivals,Minimum,Maximum,Model,Valuation,MarketFee
2025-04-01 00:00:00+05:30,323,Gaddiannaram,1,Gaddiannaram,76,Mango,291,Benishan,0.0,6856.0,1650.0,8850.0,3850.0,0.0,0.0
2025-04-01 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0.0,80.0,500.0,1000.0,800.0,0.0,0.0
2025-04-01 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0.0,403.0,1000.0,2000.0,1800.0,0.0,0.0
2025-04-01 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0.0,25.0,600.0,1200.0,900.0,0.0,0.0
2025-04-01 00:00:00+05:30,325,Hyderabad,5,Mahabubmansion,54,Chillies(Dry),250,Teja,0.0,102.0,7000.0,10000.0,9000.0,0.0,0.0
2025-04-01 00:00:00+05:30,278,Suryapet,1091,Suryapet,1,Paddy,195,Grade-A,0.0,1442.0,1719.0,2151.0,2011.0,0.0,0.0
2025-04-01 00:00:00+05:30,367,Gudimalkapur,1571,Gudumalkapur,55,Onions,55,Common,0.0,868.0,1100.0,2100.0,1600.0,0.0,0.0
2025-04-02 00:00:00+05:30,323,Gaddiannaram,1,Gaddiannaram,76,Mango,291,Benishan,0.0,2221.0,1650.0,8850.0,3850.0,0.0,0.0
2025-04-02 00:00:00+05:30,324,Bowenpally,3,Bowenpally,55,Onions,55,Common,0.0,940.0,800.0,2000.0,1600.0,0.0,0.0
2025-04-02 00:00:00+05:30,323,Gaddiannaram,2,L.B Nagar,98,Cabbage,98,Common,0.0,70.0,500.0,1000.0,700.0,0.0,0.0
2025-04-02 00:00:00+05:30,325,Hyderabad,5,Mahabubmansion,54,Chillies(Dry),250,Teja,0.0,160.0,7000.0,11000.0,9000.0,0.0,0.0
2025-04-02 00:00:00+05:30,325,Hyderabad,6,Madannapeta,98,Cabbage,98,Common,0.0,30.0,800.0,1200.0,1000.0,0.0,0.0
2025-04-02 00:00:00+05:30,325,Hyderabad,7,Meeralamandi,98,Cabbage,98,Common,0.0,4.0,1000.0,1200.0,1100.0,0.0,0.0
2025-04-02 00:00:00+05:30,279,Thirumalagiri,9,Tirmalagiri,1,Paddy,237,Grade-A(IR64),0.0,13390.0,1650.0,1953.0,1869.0,0.0,0.0
